date_key,date,year,month,month_name,iso_year,iso_week,iso_yearweek,week_start_date,store_code,store_name,orders,net_revenue,aov,units,asp,units_per_order
20220702,2022-07-02,2022,7,July,2022,26,202226,2022-06-27,PA,Pasion Albiverde (Store),7,1874.90,267.84,11.000,170.45,1.57
20220702,2022-07-02,2022,7,July,2022,26,202226,2022-06-27,RBN,Rabbona,8,646.91,80.86,10.000,64.69,1.25
20220702,2022-07-02,2022,7,July,2022,26,202226,2022-06-27,VIC,Victus,1,259.99,259.99,1.000,259.99,1.00
20220703,2022-07-03,2022,7,July,2022,26,202226,2022-06-27,NEB,Nebula,1,119.99,119.99,1.000,119.99,1.00
20220704,2022-07-04,2022,7,July,2022,27,202227,2022-07-04,NEB,Nebula,1,149.99,149.99,1.000,149.99,1.00
20220704,2022-07-04,2022,7,July,2022,27,202227,2022-07-04,PA,Pasion Albiverde (Store),1,129.99,129.99,1.000,129.99,1.00
20220704,2022-07-04,2022,7,July,2022,27,202227,2022-07-04,RBN,Rabbona,2,424.98,212.49,5.000,85.00,2.50
20220704,2022-07-04,2022,7,July,2022,27,202227,2022-07-04,VIC,Victus,5,899.94,179.99,6.000,149.99,1.20
20220705,2022-07-05,2022,7,July,2022,27,202227,2022-07-04,NEB,Nebula,6,2804.88,467.48,19.000,147.63,3.17
20220705,2022-07-05,2022,7,July,2022,27,202227,2022-07-04,PA,Pasion Albiverde (Store),2,454.99,227.50,3.000,151.66,1.50
20220705,2022-07-05,2022,7,July,2022,27,202227,2022-07-04,VIC,Victus,2,379.97,189.99,3.000,126.66,1.50
20220706,2022-07-06,2022,7,July,2022,27,202227,2022-07-04,NEB,Nebula,1,129.99,129.99,1.000,129.99,1.00
20220706,2022-07-06,2022,7,July,2022,27,202227,2022-07-04,PA,Pasion Albiverde (Store),1,165.00,165.00,1.000,165.00,1.00
20220706,2022-07-06,2022,7,July,2022,27,202227,2022-07-04,VIC,Victus,1,356.98,356.98,3.000,118.99,3.00
20220707,2022-07-07,2022,7,July,2022,27,202227,2022-07-04,NEB,Nebula,4,966.96,241.74,7.000,138.14,1.75
20220707,2022-07-07,2022,7,July,2022,27,202227,2022-07-04,PA,Pasion Albiverde (Store),2,199.98,99.99,2.000,99.99,1.00
20220707,2022-07-07,2022,7,July,2022,27,202227,2022-07-04,RBN,Rabbona,2,451.99,226.00,3.000,150.66,1.50
20220707,2022-07-07,2022,7,July,2022,27,202227,2022-07-04,VIC,Victus,2,644.95,322.48,6.000,107.49,3.00
20220708,2022-07-08,2022,7,July,2022,27,202227,2022-07-04,NEB,Nebula,1,279.98,279.98,2.000,139.99,2.00
20220708,2022-07-08,2022,7,July,2022,27,202227,2022-07-04,PA,Pasion Albiverde (Store),1,279.98,279.98,2.000,139.99,2.00
20220708,2022-07-08,2022,7,July,2022,27,202227,2022-07-04,RBN,Rabbona,2,119.98,59.99,2.000,59.99,1.00
20220708,2022-07-08,2022,7,July,2022,27,202227,2022-07-04,VIC,Victus,5,1094.94,218.99,9.000,121.66,1.80
20220709,2022-07-09,2022,7,July,2022,27,202227,2022-07-04,PA,Pasion Albiverde (Store),3,483.99,161.33,3.000,161.33,1.00
20220709,2022-07-09,2022,7,July,2022,27,202227,2022-07-04,VIC,Victus,1,69.99,69.99,1.000,69.99,1.00
